Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,756,397,18013,35830,21046,2656,6041,34539,44159,1762,49.033495133,285.4548019
Situation familiale,Couples sans enfants,72,26,553,931,1350,120,417,1653,1399,8,54.129095675,311.31913499
Situation familiale,Familles monoparentales,26,30,209,591,670,35,237,1320,241,8,44.781550288,227.01153107
Situation familiale,Couples avec enfants,26,15,103,221,384,25,284,318,456,3,46.57622739,229.84883721
Situation maritale,Adultes seuls,782,427,18222,36421,21716,2691,6278,35859,44400,1770,48.950796795,284.31810763
Situation maritale,Adultes avec conjoint à l’AFDR,65,19,294,670,1220,94,535,1190,1172,6,53.205757832,288.62531753
Situation maritale,Adultes avec conjoint au PRB,24,16,295,341,326,28,85,521,509,1,52.013592233,314.7776699
Situation maritale,Adultes avec conjoint hors Assistance sociale,9,6,67,141,188,23,81,260,174,4,50.705069124,281.32488479
Sexe,Hommes,500,223,10114,22189,11690,1539,3723,0,46255,1120,47.929758945,274.89903794
Sexe,Femmes,380,245,8764,15384,11760,1297,3256,37830,0,661,50.568411314,296.89878403
Âge,Moins de 20 ans,0,0,0,0,0,158,10,54,104,158,18.481012658,12.101265823
Âge,De 20 à 24 ans,10,5,458,636,182,332,92,607,1016,1623,23.210104744,68.253850893
Âge,De 25 à 29 ans,35,29,2218,2548,1047,59,416,2175,3761,0,27.076819407,108.23062668
Âge,De 30 à 34 ans,42,32,2436,2562,1233,76,394,2385,3996,0,31.978059865,157.23695346
Âge,De 35 à 39 ans,81,44,2120,2944,1197,99,532,2465,4020,0,37.07771781,201.53986122
Âge,De 40 à 44 ans,80,36,2134,3796,1664,134,595,3112,4732,0,42.118689444,243.33936767
Âge,De 45 à 49 ans,86,54,2166,4130,2046,228,716,3792,4918,0,47.029391504,280.35361653
Âge,De 50 à 54 ans,108,51,2030,4669,2949,309,946,4828,5288,0,52.132661131,317.54013444
Âge,55 ans et plus,438,217,5316,16288,13132,1441,3278,18412,18420,0,60.186685491,361.60963293
Âge,35 ans et moins,106,76,5551,6229,2703,639,1010,5702,9602,1781,29.245948772,129.41714584
Âge,36 ans et plus,774,392,13327,31344,20747,2197,5969,32128,36653,0,53.538244573,319.36924441
Scolarité,Primaire,78,59,3238,2216,1705,189,651,3276,4209,320,46.789579158,295.95511022
Scolarité,Secondaire I à IV,282,174,3880,13250,8620,547,1490,11926,14827,283,50.497813329,308.96546182
Scolarité,Secondaire V,184,84,766,8283,4828,480,1259,6995,7630,69,52.74365812,279.9842735
Scolarité,Collégiale,48,24,31,3436,1398,176,566,2543,2570,0,52.881869744,261.70643458
Scolarité,Universitaire,41,14,7,2112,740,91,632,1457,1548,0,54.808652246,245.27487521
Scolarité,Inconnue,247,113,10956,8276,6159,1353,2381,11633,15471,1109,45.09832497,269.19395661
Diplôme maximum obtenu,Aucun diplôme,422,258,7484,17379,11506,849,2775,16914,20984,640,49.9436118,303.63267191
Diplôme maximum obtenu,Secondaire - DES,110,48,317,6012,2942,310,655,4665,5074,29,51.751411849,271.06684465
Diplôme maximum obtenu,Secondaire - DEP,24,12,80,1517,1079,103,105,1375,1440,3,55.611012433,302.08241563
Diplôme maximum obtenu,Secondaire - ASP,4,4,11,144,102,5,18,107,163,0,55.555555556,301.73333333
Diplôme maximum obtenu,Collégial - AEC,8,4,0,439,263,33,71,383,364,0,54.108433735,249.0562249
Diplôme maximum obtenu,Collégial - DEC général,8,3,6,735,197,22,108,466,505,0,53.03192585,262.56745623
Diplôme maximum obtenu,Collégial - DEC professionnel,9,10,4,730,296,41,94,586,504,0,53.578899083,235.3587156
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,251,87,14,54,184,171,0,53.985915493,243.91267606
Diplôme maximum obtenu,Universitaire - Baccalauréat,13,5,4,833,265,41,227,595,566,0,54.79414298,231.39879414
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,1,0,136,58,10,56,103,107,0,56.342857143,212.74285714
Diplôme maximum obtenu,Inconnu,275,122,10972,9397,6655,1408,2816,12452,16377,1109,45.674563807,269.55000173
Durée cumulative,Premier mois,0,0,0,0,0,7,0,1,6,6,24.285714286,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,33,1,14,19,24,27.939393939,3.7575757576
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,66,3,21,45,51,26.545454545,8.803030303
Durée cumulative,De 12 à 23 mois,0,0,1,4,7,99,8,45,66,77,30.126126126,17.702702703
Durée cumulative,De 24 à 47 mois,1,0,3,26,19,294,22,153,190,219,32.247813411,36.183673469
Durée cumulative,De 48 à 119 mois,94,58,2138,3972,2304,579,1233,3608,5537,1404,34.969710224,92.533624932
Durée cumulative,120 mois et plus,785,410,16736,33571,21120,1758,5712,33988,40392,0,50.994178543,310.37682173
Types de diagnostics,Visuel,880,0,0,0,0,0,135,380,500,10,51.073863636,296.87954545
Types de diagnostics,Auditif et de la parole,0,468,0,0,0,0,74,245,223,5,49.837606838,276.58547009
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18878,0,0,0,870,8764,10114,458,44.607426634,304.30670622
Types de diagnostics,Santé mentale,0,0,0,37573,0,0,3309,15384,22189,636,49.260027147,280.91690842
Types de diagnostics,Physique,0,0,0,0,23450,0,2385,11760,11690,182,52.517995736,285.11266525
Types de diagnostics,Autres,0,0,0,0,0,2836,206,1297,1539,490,48.389280677,201.32404795
