Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,760,397,18058,35795,21065,2637,5952,34530,44182,1771,49.097647119,285.93035369
Situation familiale,Couples sans enfants,68,28,554,924,1338,122,380,1636,1398,9,53.995715227,311.49802241
Situation familiale,Familles monoparentales,29,28,206,642,746,38,288,1438,251,10,45.406749556,229.92007105
Situation familiale,Couples avec enfants,25,15,103,229,397,24,305,325,468,3,47.224464061,234.01891551
Situation maritale,Adultes seuls,789,425,18264,36437,21811,2675,6240,35968,44433,1781,49.02011169,284.75373441
Situation maritale,Adultes avec conjoint à l’AFDR,62,19,306,687,1246,98,528,1214,1204,6,53.093465674,289.45574855
Situation maritale,Adultes avec conjoint au PRB,25,18,301,345,318,29,82,525,511,3,51.693050193,313.13803089
Situation maritale,Adultes avec conjoint hors Assistance sociale,6,6,50,121,171,19,75,222,151,3,51.844504021,285.11260054
Sexe,Hommes,502,222,10145,22144,11751,1535,3701,0,46299,1122,48.024536167,275.48050714
Sexe,Femmes,380,246,8776,15446,11795,1286,3224,37929,0,671,50.595850141,297.15191542
Âge,Moins de 20 ans,0,0,0,0,0,157,9,53,104,157,18.503184713,12.050955414
Âge,De 20 à 24 ans,8,6,479,653,182,308,95,618,1018,1636,23.242665037,68.55195599
Âge,De 25 à 29 ans,40,28,2205,2493,1040,57,404,2154,3709,0,27.082210472,108.38427426
Âge,De 30 à 34 ans,41,31,2429,2481,1234,74,393,2373,3917,0,31.979332273,157.02750397
Âge,De 35 à 39 ans,80,44,2107,2960,1204,98,526,2474,4019,0,37.057754505,201.39504081
Âge,De 40 à 44 ans,74,38,2136,3778,1663,129,589,3100,4718,0,42.109618828,243.19519059
Âge,De 45 à 49 ans,88,51,2164,4100,2046,226,713,3771,4904,0,47.016829971,280.46017291
Âge,De 50 à 54 ans,111,52,2061,4679,2944,314,937,4861,5300,0,52.128333825,318.02204507
Âge,55 ans et plus,440,218,5340,16446,13233,1458,3259,18525,18610,0,60.166931466,361.23796957
Âge,35 ans et moins,106,74,5547,6148,2687,612,997,5675,9499,1793,29.250230658,129.3531699
Âge,36 ans et plus,776,394,13374,31442,20859,2209,5928,32254,36800,0,53.562356996,319.49404814
Scolarité,Primaire,77,60,3228,2199,1703,181,635,3263,4185,315,46.95810956,298.30665951
Scolarité,Secondaire I à IV,287,172,3863,13257,8665,544,1470,11972,14816,292,50.557376437,309.04278035
Scolarité,Secondaire V,184,86,760,8253,4828,480,1240,6991,7600,65,52.793502844,280.45877596
Scolarité,Collégiale,48,24,30,3435,1390,178,562,2544,2561,0,52.918315377,262.20920666
Scolarité,Universitaire,39,14,7,2125,730,92,628,1450,1557,0,54.785167941,246.23445294
Scolarité,Inconnue,247,112,11033,8321,6230,1346,2390,11709,15580,1121,45.192788303,269.46909011
Diplôme maximum obtenu,Aucun diplôme,423,259,7456,17362,11550,833,2732,16951,20932,645,50.02499802,304.22527255
Diplôme maximum obtenu,Secondaire - DES,112,49,309,5973,2945,312,646,4652,5048,25,51.801752577,271.53628866
Diplôme maximum obtenu,Secondaire - DEP,25,11,82,1525,1076,105,102,1379,1445,2,55.644121813,302.898017
Diplôme maximum obtenu,Secondaire - ASP,4,4,12,146,105,5,18,109,167,0,55.336956522,298.80797101
Diplôme maximum obtenu,Collégial - AEC,8,4,0,446,257,36,70,386,365,0,54.147802929,249.22237017
Diplôme maximum obtenu,Collégial - DEC général,7,3,6,729,192,23,104,457,503,0,53.138541667,263.31354167
Diplôme maximum obtenu,Collégial - DEC professionnel,9,10,4,724,292,40,92,583,496,0,53.564411492,235.73030584
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,254,86,13,51,180,175,0,54.028169014,246.07042254
Diplôme maximum obtenu,Universitaire - Baccalauréat,13,5,4,833,264,43,231,596,566,0,54.800344234,231.16351119
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,1,0,136,58,10,57,103,107,0,56.366666667,214.67619048
Diplôme maximum obtenu,Inconnu,275,121,11048,9462,6721,1401,2822,12533,16495,1121,45.762126223,269.84549401
Durée cumulative,Premier mois,0,0,0,0,0,4,0,0,4,4,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,37,2,19,18,27,27.810810811,3.7297297297
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,67,3,21,46,52,26.955223881,8.3432835821
Durée cumulative,De 12 à 23 mois,0,0,1,4,7,104,6,52,64,70,32.879310345,18.172413793
