Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,762,400,18024,35768,20988,2648,5978,34459,44131,1767,49.053111083,285.62152946
Situation familiale,Couples sans enfants,70,26,558,913,1330,118,384,1636,1379,9,54.066334992,312.4092869
Situation familiale,Familles monoparentales,28,30,209,645,749,38,288,1448,251,9,45.486756916,230.23602119
Situation familiale,Couples avec enfants,25,15,102,230,407,26,312,333,472,2,47.185093168,232.37267081
Situation maritale,Adultes seuls,790,430,18233,36413,21737,2686,6266,35907,44382,1776,48.977643264,284.44951363
Situation maritale,Adultes avec conjoint à l’AFDR,62,19,295,670,1231,93,529,1200,1170,6,53.24978903,290.05738397
Situation maritale,Adultes avec conjoint au PRB,25,16,304,343,320,28,84,524,512,1,51.816602317,313.85714286
Situation maritale,Adultes avec conjoint hors Assistance sociale,8,6,61,130,186,23,83,245,169,4,50.990338164,281.11594203
Sexe,Hommes,503,224,10122,22153,11700,1531,3706,0,46233,1129,47.958990332,275.11411762
Sexe,Femmes,382,247,8771,15403,11774,1299,3256,37876,0,658,50.588024079,296.96351251
Âge,Moins de 20 ans,0,0,0,0,0,155,9,56,99,155,18.496774194,12.412903226
Âge,De 20 à 24 ans,10,5,463,640,192,322,97,602,1030,1632,23.224877451,68.34497549
Âge,De 25 à 29 ans,38,31,2206,2525,1029,58,406,2168,3719,0,27.076099881,108.2170885
Âge,De 30 à 34 ans,41,31,2435,2553,1239,77,397,2386,3990,0,31.971769134,157.11872647
Âge,De 35 à 39 ans,81,45,2122,2935,1190,100,527,2470,4003,0,37.075235594,201.52942994
Âge,De 40 à 44 ans,76,38,2142,3782,1672,132,597,3101,4741,0,42.119994899,243.30400408
Âge,De 45 à 49 ans,89,52,2153,4108,2040,228,706,3782,4888,0,47.025259516,280.46862745
Âge,De 50 à 54 ans,109,50,2043,4671,2934,309,945,4841,5275,0,52.130585212,317.48675366
Âge,55 ans et plus,441,219,5329,16342,13178,1449,3278,18470,18488,0,60.176037664,361.46344499
Âge,35 ans et moins,107,77,5548,6201,2692,626,1006,5688,9563,1787,29.247524752,129.38699102
Âge,36 ans et plus,778,394,13345,31355,20782,2204,5956,32188,36670,0,53.549420547,319.40892852
Scolarité,Primaire,79,59,3238,2208,1698,186,645,3271,4197,324,46.859801821,297.03976968
Scolarité,Secondaire I à IV,285,175,3870,13235,8630,540,1478,11930,14805,291,50.507275108,308.97336824
Scolarité,Secondaire V,185,86,765,8277,4831,483,1249,7004,7623,72,52.759554249,279.89710809
Scolarité,Collégiale,48,24,30,3435,1397,176,568,2547,2563,0,52.90704501,261.9927593
Scolarité,Universitaire,40,14,7,2109,737,92,630,1455,1544,0,54.804268089,245.63987996
Scolarité,Inconnue,248,113,10983,8292,6181,1353,2392,11669,15501,1100,45.148030916,269.37552448
Diplôme maximum obtenu,Aucun diplôme,425,260,7474,17353,11514,839,2755,16920,20945,654,49.969364849,303.8420441
Diplôme maximum obtenu,Secondaire - DES,112,49,314,6002,2943,311,650,4664,5067,30,51.759634159,270.99928065
Diplôme maximum obtenu,Secondaire - DEP,24,12,81,1519,1076,105,102,1378,1439,3,55.61341853,302.3972311
Diplôme maximum obtenu,Secondaire - ASP,4,4,11,144,104,5,18,109,163,0,55.599264706,301.13602941
Diplôme maximum obtenu,Collégial - AEC,8,4,0,439,263,34,71,385,363,0,54.152406417,248.61497326
Diplôme maximum obtenu,Collégial - DEC général,7,3,6,733,196,21,108,464,502,0,53.125258799,263.36024845
Diplôme maximum obtenu,Collégial - DEC professionnel,9,10,4,722,297,41,93,581,502,0,53.559556787,235.3601108
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,253,88,13,53,183,174,0,54.036414566,244.50420168
Diplôme maximum obtenu,Universitaire - Baccalauréat,13,5,4,831,264,42,230,594,565,0,54.786885246,231.36410699
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,1,0,133,57,10,53,102,104,0,56.373786408,213.68932039
Diplôme maximum obtenu,Inconnu,276,122,10999,9427,6672,1409,2829,12496,16409,1100,45.721466874,269.73125757
Durée cumulative,Premier mois,0,0,0,0,0,5,0,3,2,5,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,29,1,15,14,18,30.827586207,3.5172413793
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,71,2,22,49,56,26.338028169,8.5633802817
Durée cumulative,De 12 à 23 mois,0,0,1,4,7,97,8,49,60,73,30.770642202,17.908256881
Durée cumulative,De 24 à 47 mois,1,0,4,24,19,293,22,147,194,219,32.149560117,36.082111437
Durée cumulative,De 48 à 119 mois,96,57,2134,3949,2293,574,1230,3587,5516,1416,34.989893442,92.490497638
Durée cumulative,120 mois et plus,788,414,16754,33579,21155,1761,5699,34053,40398,0,51.009066366,310.40857745
Types de diagnostics,Visuel,885,0,0,0,0,0,133,382,503,10,51.105084746,297.02372881
Types de diagnostics,Auditif et de la parole,0,471,0,0,0,0,73,247,224,5,49.791932059,275.92356688
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18893,0,0,0,868,8771,10122,463,44.619329911,304.4376224
Types de diagnostics,Santé mentale,0,0,0,37556,0,0,3302,15403,22153,640,49.293135584,281.07681862
Types de diagnostics,Physique,0,0,0,0,23474,0,2379,11774,11700,192,52.531183437,285.19447048
Types de diagnostics,Autres,0,0,0,0,0,2830,207,1299,1531,477,48.521908127,202.04911661
Région,01 - Bas-Saint-Laurent,17,9,708,1126,763,81,12,1198,1506,55,50.525147929,305.00184911
Région,02 - Saguenay-Lac-Saint-Jean,30,17,854,1314,1007,115,21,1552,1785,78,49.246928379,304.17440815
Région,03 - Capitale-Nationale,76,27,1459,3382,1612,249,220,2963,3842,110,50.053049229,301.06333578
Région,04 - Mauricie,34,20,949,1847,1116,116,64,1878,2204,62,49.840519353,303.21239588
Région,05 - Estrie,61,32,1545,2611,1680,218,229,2749,3398,128,49.102000976,287.08752237
Région,06 - Montréal,238,145,3511,10538,5709,625,4500,8990,11776,372,49.926370028,281.23822595
Région,07 - Outaouais,44,22,910,1692,1126,182,194,1873,2103,86,49.015090543,275.38682093
Région,08 - Abitibi-Témiscamingue,17,8,432,559,444,63,9,703,820,30,49.660538411,302.19960604
Région,09 - Côte-Nord,11,5,229,330,254,27,7,372,484,14,49.484813084,310.37149533
Région,10 - Nord-du-Québec,3,0,45,105,75,14,2,91,151,3,44.747933884,246.65289256
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,9,384,529,490,51,9,686,797,29,50.437626433,311.11260958
Région,12 - Chaudière-Appalaches,32,15,1099,1512,973,153,40,1729,2055,80,49.096987315,290.83668076
Région,13 - Laval,39,23,772,1290,905,99,648,1439,1689,102,47.880434783,254.33759591
Région,14 - Lanaudière,51,23,1136,1825,1405,197,124,2128,2509,146,47.383006254,274.777011
Région,15 - Laurentides,37,27,1306,2385,1627,203,161,2593,2992,142,48.157743957,275.21038496
Région,16 - Montérégie,129,72,2816,5226,3427,323,662,5559,6434,291,48.010839656,275.11965313
Région,17 - Centre-du-Québec,45,16,696,1244,841,108,55,1330,1620,54,49.416271186,288.76745763
Région,Région inconnue,1,1,42,41,20,6,5,43,68,5,48.981981982,319.11711712
