Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,758,395,18029,35801,21013,2637,5962,34503,44130,1758,49.073544186,285.73424644
Situation familiale,Couples sans enfants,69,28,561,922,1340,121,386,1643,1398,10,53.990792502,311.30812233
Situation familiale,Familles monoparentales,28,30,208,645,745,37,291,1444,249,9,45.404607206,229.75900768
Situation familiale,Couples avec enfants,26,15,104,223,400,26,306,323,471,1,47.227959698,232.9256927
Situation maritale,Adultes seuls,786,425,18237,36446,21758,2674,6253,35947,44379,1767,48.996215422,284.554478
Situation maritale,Adultes avec conjoint à l’AFDR,62,19,303,677,1245,97,531,1209,1194,6,53.145651269,289.46858094
Situation maritale,Adultes avec conjoint au PRB,25,17,305,343,317,29,84,524,512,2,51.749034749,313.18532819
Situation maritale,Adultes avec conjoint hors Assistance sociale,8,7,57,125,178,21,77,233,163,3,51.424242424,281.76262626
Sexe,Hommes,502,224,10128,22160,11706,1528,3702,0,46248,1114,47.991026639,275.26494119
Sexe,Femmes,379,244,8774,15431,11792,1293,3243,37913,0,664,50.585973149,296.95094031
Âge,Moins de 20 ans,0,0,0,0,0,151,9,53,98,151,18.496688742,12.158940397
Âge,De 20 à 24 ans,8,4,474,636,189,316,96,611,1016,1627,23.233558697,68.331284573
Âge,De 25 à 29 ans,39,30,2204,2524,1033,59,406,2162,3727,0,27.080319239,108.24095772
Âge,De 30 à 34 ans,41,33,2430,2512,1233,77,391,2382,3944,0,31.972020234,156.99794499
Âge,De 35 à 39 ans,81,45,2115,2954,1201,98,528,2474,4020,0,37.06421312,201.34924546
Âge,De 40 à 44 ans,74,37,2134,3780,1670,130,596,3100,4725,0,42.118466454,243.15974441
Âge,De 45 à 49 ans,87,52,2162,4097,2040,230,707,3780,4888,0,47.017997231,280.2876096
Âge,De 50 à 54 ans,110,51,2062,4690,2944,311,940,4867,5301,0,52.128343824,317.62795043
Âge,55 ans et plus,441,216,5321,16398,13188,1449,3272,18484,18529,0,60.172506957,361.37794829
Âge,35 ans et moins,106,77,5543,6176,2689,617,1002,5676,9532,1778,29.251052078,129.30714098
Âge,36 ans et plus,775,391,13359,31415,20809,2204,5943,32237,36716,0,53.551042014,319.38060708
Scolarité,Primaire,77,59,3232,2203,1697,186,640,3268,4186,326,46.870136839,297.25556748
Scolarité,Secondaire I à IV,287,172,3870,13254,8640,544,1476,11959,14808,284,50.536855083,308.97960175
Scolarité,Secondaire V,183,86,767,8264,4835,478,1245,7008,7605,70,52.763703552,279.97310614
Scolarité,Collégiale,47,24,29,3441,1387,176,563,2541,2563,0,52.896551724,262.09130094
Scolarité,Universitaire,40,14,7,2112,733,92,630,1448,1550,0,54.788525684,246.04236157
Scolarité,Inconnue,247,113,10997,8317,6206,1345,2391,11689,15536,1098,45.17865932,269.45667585
Diplôme maximum obtenu,Aucun diplôme,424,258,7473,17355,11518,837,2744,16946,20919,650,49.987983626,303.87534663
Diplôme maximum obtenu,Secondaire - DES,111,49,310,6001,2947,314,648,4674,5058,28,51.776613235,271.14159474
Diplôme maximum obtenu,Secondaire - DEP,24,11,82,1521,1077,103,102,1372,1446,2,55.634492548,302.86621718
Diplôme maximum obtenu,Secondaire - ASP,4,4,11,144,105,5,18,109,164,0,55.56043956,300.97435897
Diplôme maximum obtenu,Collégial - AEC,8,4,0,444,260,35,71,385,366,0,54.091877497,248.66178429
Diplôme maximum obtenu,Collégial - DEC général,6,3,6,730,190,22,105,459,498,0,53.140020899,264.05015674
Diplôme maximum obtenu,Collégial - DEC professionnel,9,10,4,722,293,40,92,579,499,0,53.551948052,235.41187384
Diplôme maximum obtenu,Universitaire - Certificat,1,1,0,252,89,13,54,180,176,0,54.081460674,245.32865169
Diplôme maximum obtenu,Universitaire - Baccalauréat,14,5,4,829,264,42,231,594,564,0,54.78238342,231.51381693
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,1,0,134,58,10,55,102,106,0,56.307692308,214.20673077
Diplôme maximum obtenu,Inconnu,275,122,11012,9459,6697,1400,2825,12513,16452,1098,45.748800276,269.80566201
Durée cumulative,Premier mois,0,0,0,0,0,2,0,2,0,2,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,32,2,15,17,22,28.9375,3.6875
Durée cumulative,De 6 à 11 mois,0,0,0,0,0,68,2,20,48,55,25.544117647,8.3823529412
Durée cumulative,De 12 à 23 mois,0,0,1,5,7,103,7,53,63,74,31.586206897,18.034482759
Durée cumulative,De 24 à 47 mois,1,0,3,26,19,294,25,147,196,217,32.682215743,36.259475219
Durée cumulative,De 48 à 119 mois,90,57,2152,3936,2293,558,1217,3578,5508,1408,34.941558442,92.600594321
Durée cumulative,120 mois et plus,790,411,16746,33624,21179,1764,5692,34098,40416,0,51.028035,310.44053466
Types de diagnostics,Visuel,881,0,0,0,0,0,131,379,502,8,51.129398411,298.08286039
Types de diagnostics,Auditif et de la parole,0,468,0,0,0,0,73,244,224,4,49.735042735,275.98076923
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18902,0,0,0,865,8774,10128,474,44.618717596,304.34837583
Types de diagnostics,Santé mentale,0,0,0,37591,0,0,3299,15431,22160,636,49.331409114,281.28751563
Types de diagnostics,Physique,0,0,0,0,23498,0,2370,11792,11706,189,52.518724998,285.0518342
Types de diagnostics,Autres,0,0,0,0,0,2821,207,1293,1528,467,48.617157037,202.82311237
Région,01 - Bas-Saint-Laurent,17,9,712,1123,765,84,11,1204,1506,55,50.540221402,305.17933579
Région,02 - Saguenay-Lac-Saint-Jean,30,17,860,1311,1011,114,20,1552,1791,80,49.281483697,304.59108585
Région,03 - Capitale-Nationale,75,27,1459,3397,1608,250,215,2971,3845,107,50.096684272,301.49002347
Région,04 - Mauricie,33,20,954,1854,1129,116,65,1895,2211,62,49.907452509,303.28738432
Région,05 - Estrie,61,31,1542,2611,1686,218,230,2751,3398,132,49.092535372,286.69669865
Région,06 - Montréal,241,145,3510,10565,5709,622,4506,8998,11794,377,49.923383994,281.15063486
Région,07 - Outaouais,43,22,910,1687,1132,180,193,1872,2102,87,48.994715652,274.92224459
Région,08 - Abitibi-Témiscamingue,18,7,431,557,444,63,8,703,817,29,49.654605263,301.92171053
Région,09 - Côte-Nord,11,5,232,327,255,27,7,373,484,13,49.565927655,310.60793466
Région,10 - Nord-du-Québec,3,0,44,106,74,14,1,90,151,3,44.77593361,246.68049793
Région,11 - Gaspésie-Îles-de-la-Madeleine,20,9,385,534,482,50,9,683,797,29,50.404054054,310.95067568
Région,12 - Chaudière-Appalaches,31,15,1103,1505,983,149,40,1726,2060,79,49.080824089,290.43079768
Région,13 - Laval,37,23,769,1290,900,99,638,1432,1686,104,47.845093008,255.00064144
Région,14 - Lanaudière,50,24,1137,1826,1397,198,123,2131,2501,145,47.425518135,275.03259931
Région,15 - Laurentides,36,25,1306,2378,1623,202,159,2588,2982,139,48.178456014,275.71131059
Région,16 - Montérégie,128,72,2813,5222,3437,319,658,5561,6430,282,48.050287716,275.43474272
Région,17 - Centre-du-Québec,46,16,694,1255,843,110,56,1341,1623,50,49.48245614,288.35357625
Région,Région inconnue,1,1,41,43,20,6,6,42,70,5,48.866071429,317.67857143
