Caracteristique,Valeur,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee
Situation familiale,Personnes seules,78467,0,78467,118608997.99
Situation familiale,Couples sans enfants,3019,0,3019,3526606.9096
Situation familiale,Familles monoparentales,1594,2180,3774,2607964.8999
Situation familiale,Couples avec enfants,781,1328,2109,1001066.4999
Situation maritale,Adultes seuls,80061,2180,82241,121216962.89
Situation maritale,Adultes avec conjoint à l’AFDR,2315,1048,3363,2766431.1997
Situation maritale,Adultes avec conjoint au PRB,1026,72,1098,1226779.0899
Situation maritale,Adultes avec conjoint hors Assistance sociale,459,208,667,534463.11995
Type de résidence,Locataire,27162,1885,29047,40049444.336
Type de résidence,Locataire HLM ou coopérative,12742,1060,13802,18758535.338
Type de résidence,Chambreur ou pensionnaire,39093,310,39403,61880514.587
Type de résidence,Temporairement sans adresse,594,0,594,925125.74994
Type de résidence,Propriété,2570,253,2823,3538295.4294
Type de résidence,En hébergement,1700,0,1700,592720.85993
Région,01 - Bas-Saint-Laurent,2676,83,2759,3996709.2197
Région,02 - Saguenay-Lac-Saint-Jean,3335,79,3414,5118249.9096
Région,03 - Capitale-Nationale,6778,172,6950,10128380.909
Région,04 - Mauricie,4054,185,4239,6187218.9494
Région,05 - Estrie,6130,252,6382,9106097.8592
Région,06 - Montréal,20709,1080,21789,31122077.268
Région,07 - Outaouais,3961,215,4176,5946885.4794
Région,08 - Abitibi-Témiscamingue,1504,39,1543,2221083.6298
Région,09 - Côte-Nord,842,13,855,1261640.6199
Région,10 - Nord-du-Québec,228,5,233,346289.23998
Région,11 - Gaspésie-Îles-de-la-Madeleine,1485,55,1540,2216865.4998
Région,12 - Chaudière-Appalaches,3769,101,3870,5579679.1195
Région,13 - Laval,3134,154,3288,4750434.6097
Région,14 - Lanaudière,4652,183,4835,6947034.2295
Région,15 - Laurentides,5579,201,5780,8339015.4193
Région,16 - Montérégie,11947,556,12503,17857043.889
Région,17 - Centre-du-Québec,2967,135,3102,4453037.5196
Région,Région inconnue,111,0,111,166892.92999
Clientèle supplémentée,Allocations_aide_emploi,126,18,144,133084.58999
Clientèle supplémentée,Allocations_soutien,1184,36,1220,1891818.2399
Clientèle supplémentée,Revenus_travail,0,0,0,0
Clientèle supplémentée,Prestations_assurance_emploi,40,1,41,22341.399993
Clientèle supplémentée,Contribution_parentale,0,0,0,0
Clientèle supplémentée,Pension_alimentaire,0,0,0,0
Clientèle supplémentée,RRQ_invalidite,7902,291,8193,6296448.5164
Clientèle supplémentée,RRQ_retraite,11741,168,11909,17462751.205
Clientèle supplémentée,Revenus_autres,6164,262,6426,8703977.9589
Clientèle supplémentée,Total_distinct,25606,608,26214,32889784.551
