Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,749,386,17800,35634,20528,2714,6086,33910,43901,1820,48.865867294,284.74353241
Situation familiale,Couples sans enfants,66,25,556,869,1324,112,397,1622,1330,7,54.079268293,313.20121951
Situation familiale,Familles monoparentales,26,28,206,618,702,38,253,1383,235,4,45.283065513,229.12113721
Situation familiale,Couples avec enfants,29,15,114,227,390,24,290,321,478,4,46.719649562,231.62077597
Situation maritale,Adultes seuls,775,414,18006,36252,21230,2752,6339,35293,44136,1824,48.792884211,283.61048232
Situation maritale,Adultes avec conjoint à l’AFDR,63,15,292,604,1160,86,509,1107,1113,6,53.11981982,289.71036036
Situation maritale,Adultes avec conjoint au PRB,21,18,294,327,314,28,80,507,495,0,52.392215569,319.44411178
Situation maritale,Adultes avec conjoint hors Assistance sociale,11,7,84,165,240,22,98,329,200,5,50.185255198,276.73913043
Sexe,Hommes,495,221,10017,22209,11425,1577,3750,0,45944,1181,47.764517674,274.50134947
Sexe,Femmes,375,233,8659,15139,11519,1311,3276,37236,0,654,50.436351917,296.08019121
Âge,Moins de 20 ans,0,0,0,1,0,205,14,78,128,206,18.514563107,11.95631068
Âge,De 20 à 24 ans,8,3,445,606,166,401,109,576,1053,1629,23.183548189,67.837323511
Âge,De 25 à 29 ans,36,26,2169,2649,1009,64,409,2168,3785,0,27.064841257,108.33142953
Âge,De 30 à 34 ans,47,38,2471,2656,1254,79,431,2467,4078,0,32.004583652,157.59281895
Âge,De 35 à 39 ans,71,45,2141,2934,1220,99,513,2473,4037,0,37.077419355,202.30860215
Âge,De 40 à 44 ans,83,32,2126,3730,1607,128,602,3050,4656,0,42.120944718,244.11004412
Âge,De 45 à 49 ans,89,56,2146,4258,2068,228,729,3801,5044,0,47.03312606,279.76800452
Âge,De 50 à 54 ans,107,48,2008,4561,2913,299,948,4747,5189,0,52.149053945,318.24456522
Âge,55 ans et plus,429,206,5170,15953,12707,1385,3271,17876,17974,0,60.258158996,362.96940028
Âge,35 ans et moins,102,71,5545,6407,2664,766,1037,5756,9799,1835,29.246994536,129.65027322
Âge,36 ans et plus,768,383,13131,30941,20280,2122,5989,31480,36145,0,53.495068392,319.70161922
Scolarité,Primaire,80,57,3261,2264,1660,203,669,3276,4249,359,46.30166113,291.04770764
Scolarité,Secondaire I à IV,282,168,3888,13145,8445,548,1487,11728,14748,279,50.36504759,309.00011331
Scolarité,Secondaire V,180,83,757,8242,4753,463,1261,6890,7588,54,52.733664871,280.87090758
Scolarité,Collégiale,47,23,30,3455,1383,182,567,2547,2573,1,52.868164063,261.51191406
Scolarité,Universitaire,42,15,7,2071,739,89,648,1437,1526,0,54.797165035,244.67364158
Scolarité,Inconnue,239,108,10733,8171,5964,1403,2394,11358,15260,1142,44.861710121,268.04992862
Diplôme maximum obtenu,Aucun diplôme,424,247,7511,17309,11239,860,2785,16663,20927,664,49.732482043,302.64711359
Diplôme maximum obtenu,Secondaire - DES,108,50,313,6039,2905,301,668,4653,5063,26,51.735384932,271.78941951
Diplôme maximum obtenu,Secondaire - DEP,23,12,78,1488,1087,100,105,1356,1432,2,55.733859397,304.42934003
Diplôme maximum obtenu,Secondaire - ASP,3,4,12,138,96,4,17,101,156,0,55.575875486,308.30350195
Diplôme maximum obtenu,Collégial - AEC,8,4,0,442,253,35,69,382,360,0,54.067385445,247.04312668
Diplôme maximum obtenu,Collégial - DEC général,8,3,6,729,200,19,107,464,501,0,53.237305699,265.04766839
Diplôme maximum obtenu,Collégial - DEC professionnel,8,9,5,730,302,44,96,591,507,1,53.607468124,234.97996357
Diplôme maximum obtenu,Universitaire - Certificat,3,1,0,246,87,12,58,179,170,0,53.931232092,243.48424069
Diplôme maximum obtenu,Universitaire - Baccalauréat,12,5,4,828,266,43,234,596,562,0,54.677892919,230.01208981
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,6,2,0,134,58,9,60,105,104,0,56.392344498,213.13397129
Diplôme maximum obtenu,Inconnu,267,117,10747,9265,6451,1461,2827,12146,16162,1142,45.446128303,268.41804437
Durée cumulative,Premier mois,0,0,0,0,0,4,0,2,2,4,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,1,0,37,3,18,20,34,21.736842105,3.4210526316
Durée cumulative,De 6 à 11 mois,0,0,0,1,0,74,3,30,45,62,24.52,8.1466666667
Durée cumulative,De 12 à 23 mois,0,0,0,1,1,142,9,56,88,108,27.9375,17.180555556
Durée cumulative,De 24 à 47 mois,1,0,5,20,22,285,26,150,183,219,31.489489489,36.954954955
Durée cumulative,De 48 à 119 mois,95,52,2096,3967,2255,640,1295,3597,5508,1408,34.874794069,92.931466227
Durée cumulative,120 mois et plus,774,402,16575,33358,20666,1706,5690,33383,40098,0,50.86702685,309.94224357
Types de diagnostics,Visuel,870,0,0,0,0,0,142,375,495,8,51.162068966,297.33563218
Types de diagnostics,Auditif et de la parole,0,454,0,0,0,0,77,233,221,3,49.649779736,275.46696035
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18676,0,0,0,901,8659,10017,445,44.505675734,303.35837438
Types de diagnostics,Santé mentale,0,0,0,37348,0,0,3318,15139,22209,607,49.114892364,280.51178109
Types de diagnostics,Physique,0,0,0,0,22944,0,2367,11519,11425,166,52.481215132,285.59745467
Types de diagnostics,Autres,0,0,0,0,0,2888,221,1311,1577,606,47.032202216,193.20117729
Région,01 - Bas-Saint-Laurent,17,9,701,1103,736,86,14,1150,1502,54,50.341628959,304.2168175
Région,02 - Saguenay-Lac-Saint-Jean,30,16,842,1291,988,114,23,1527,1754,75,49.10758915,303.22523621
Région,03 - Capitale-Nationale,69,27,1436,3359,1596,244,226,2915,3816,123,49.886346754,300.61937305
Région,04 - Mauricie,34,19,948,1821,1076,114,71,1844,2168,64,49.630857428,302.04935194
Région,05 - Estrie,58,31,1517,2587,1633,226,234,2696,3356,120,49.012723067,287.68010575
Région,06 - Montréal,230,140,3485,10406,5585,642,4492,8791,11697,377,49.823896915,281.12753807
