Caracteristique,Valeur,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee
Situation familiale,Personnes seules,77957,0,77957,117518930.2
Situation familiale,Couples sans enfants,2951,0,2951,3427895.4096
Situation familiale,Familles monoparentales,1621,2224,3845,2641129.8699
Situation familiale,Couples avec enfants,796,1352,2148,1016257.1599
Situation maritale,Adultes seuls,79578,2224,81802,120160060.07
Situation maritale,Adultes avec conjoint à l’AFDR,2233,1053,3286,2669087.0397
Situation maritale,Adultes avec conjoint au PRB,998,71,1069,1186137.7199
Situation maritale,Adultes avec conjoint hors Assistance sociale,516,228,744,588927.80994
Type de résidence,Locataire,26783,1909,28692,39296466.466
Type de résidence,Locataire HLM ou coopérative,12660,1100,13760,18567313.748
Type de résidence,Chambreur ou pensionnaire,39024,310,39334,61741920.667
Type de résidence,Temporairement sans adresse,624,1,625,975492.92995
Type de résidence,Propriété,2491,256,2747,3420475.7994
Type de résidence,En hébergement,1743,0,1743,602543.02993
Région,01 - Bas-Saint-Laurent,2667,83,2750,3977072.3696
Région,02 - Saguenay-Lac-Saint-Jean,3294,79,3373,5035654.4196
Région,03 - Capitale-Nationale,6736,168,6904,10043436.039
Région,04 - Mauricie,4012,184,4196,6139255.8594
Région,05 - Estrie,6078,267,6345,9006430.6592
Région,06 - Montréal,20528,1115,21643,30750392.588
Région,07 - Outaouais,3941,217,4158,5891453.8094
Région,08 - Abitibi-Témiscamingue,1483,37,1520,2186031.1698
Région,09 - Côte-Nord,813,13,826,1210100.8299
Région,10 - Nord-du-Québec,222,6,228,338878.25998
Région,11 - Gaspésie-Îles-de-la-Madeleine,1463,50,1513,2183182.5498
Région,12 - Chaudière-Appalaches,3767,91,3858,5542412.8495
Région,13 - Laval,3137,159,3296,4738226.7597
Région,14 - Lanaudière,4639,197,4836,6937344.0994
Région,15 - Laurentides,5558,204,5762,8255955.5794
Région,16 - Montérégie,11945,567,12512,17789013.149
Région,17 - Centre-du-Québec,2942,138,3080,4427771.1095
Région,Région inconnue,100,1,101,151600.53999
Clientèle supplémentée,Allocations_aide_emploi,121,18,139,133953.37999
Clientèle supplémentée,Allocations_soutien,1186,40,1226,1889182.5599
Clientèle supplémentée,Revenus_travail,0,0,0,0
Clientèle supplémentée,Prestations_assurance_emploi,25,4,29,17028.73999
Clientèle supplémentée,Contribution_parentale,0,0,0,0
Clientèle supplémentée,Pension_alimentaire,0,0,0,0
Clientèle supplémentée,RRQ_invalidite,7807,303,8110,5866994.6965
Clientèle supplémentée,RRQ_retraite,11666,169,11835,17289401.575
Clientèle supplémentée,Revenus_autres,5634,279,5913,7848730.159
Clientèle supplémentée,Total_distinct,25054,644,25698,31708735.981
