Caracteristique,Valeur,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee
Situation familiale,Personnes seules,77811,0,77811,117471540.77
Situation familiale,Couples sans enfants,2952,0,2952,3436679.9996
Situation familiale,Familles monoparentales,1618,2223,3841,2642366.7999
Situation familiale,Couples avec enfants,799,1356,2155,1022161.9399
Situation maritale,Adultes seuls,79429,2223,81652,120113907.57
Situation maritale,Adultes avec conjoint à l’AFDR,2220,1042,3262,2660938.0797
Situation maritale,Adultes avec conjoint au PRB,1002,70,1072,1191983.0699
Situation maritale,Adultes avec conjoint hors Assistance sociale,529,244,773,605920.78994
Type de résidence,Locataire,26688,1913,28601,39183981.796
Type de résidence,Locataire HLM ou coopérative,12614,1094,13708,18530990.608
Type de résidence,Chambreur ou pensionnaire,38997,311,39308,61836200.787
Type de résidence,Temporairement sans adresse,634,1,635,986932.04994
Type de résidence,Propriété,2480,260,2740,3402596.3094
Type de résidence,En hébergement,1767,0,1767,632047.95993
Région,01 - Bas-Saint-Laurent,2652,81,2733,3992114.2896
Région,02 - Saguenay-Lac-Saint-Jean,3281,78,3359,5003930.4596
Région,03 - Capitale-Nationale,6731,167,6898,10072040.529
Région,04 - Mauricie,4012,183,4195,6137385.7694
Région,05 - Estrie,6052,267,6319,8977637.7992
Région,06 - Montréal,20488,1126,21614,30702545.458
Région,07 - Outaouais,3941,219,4160,5960743.7493
Région,08 - Abitibi-Témiscamingue,1484,37,1521,2184461.2498
Région,09 - Côte-Nord,812,13,825,1208475.0799
Région,10 - Nord-du-Québec,221,6,227,337142.20998
Région,11 - Gaspésie-Îles-de-la-Madeleine,1449,49,1498,2170056.8198
Région,12 - Chaudière-Appalaches,3773,89,3862,5565409.0695
Région,13 - Laval,3134,159,3293,4745156.2697
Région,14 - Lanaudière,4656,199,4855,6971212.0194
Région,15 - Laurentides,5548,204,5752,8271855.8293
Région,16 - Montérégie,11916,564,12480,17741592.619
Région,17 - Centre-du-Québec,2930,137,3067,4373281.6796
Région,Région inconnue,100,1,101,157708.60998
Clientèle supplémentée,Allocations_aide_emploi,125,17,142,145686.41999
Clientèle supplémentée,Allocations_soutien,1166,41,1207,1881973.9799
Clientèle supplémentée,Revenus_travail,0,0,0,0
Clientèle supplémentée,Prestations_assurance_emploi,30,4,34,21624.809991
Clientèle supplémentée,Contribution_parentale,0,0,0,0
Clientèle supplémentée,Pension_alimentaire,0,0,0,0
Clientèle supplémentée,RRQ_invalidite,7771,301,8072,5853709.8465
Clientèle supplémentée,RRQ_retraite,11644,171,11815,17260366.815
Clientèle supplémentée,Revenus_autres,5656,279,5935,7889838.759
Clientèle supplémentée,Total_distinct,24977,644,25621,31655794.411
