Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,746,381,17684,35398,20245,2907,6111,33630,43731,1976,48.716989181,283.73387107
Situation familiale,Couples sans enfants,64,26,549,871,1312,107,408,1605,1324,8,53.993513144,311.6954592
Situation familiale,Familles monoparentales,29,31,205,605,696,44,250,1362,248,0,45.366459627,229.46770186
Situation familiale,Couples avec enfants,29,14,115,224,384,21,288,321,466,4,46.623888183,231.5476493
Situation maritale,Adultes seuls,775,412,17889,36003,20941,2951,6361,34992,43979,1976,48.648681161,282.62753416
Situation maritale,Adultes avec conjoint à l’AFDR,61,15,278,585,1112,81,513,1049,1083,7,53.179174484,288.10881801
Situation maritale,Adultes avec conjoint au PRB,21,18,288,336,311,26,80,505,495,0,52.245,318.647
Situation maritale,Adultes avec conjoint hors Assistance sociale,11,7,98,174,273,21,103,372,212,5,50.029109589,277.89212329
Sexe,Hommes,494,217,9958,22127,11260,1713,3772,0,45769,1300,47.597172759,273.59957613
Sexe,Femmes,374,235,8595,14971,11377,1366,3285,36918,0,688,50.333170811,295.03721762
Âge,Moins de 20 ans,0,0,0,1,0,314,23,107,208,315,18.488888889,12.06984127
Âge,De 20 à 24 ans,6,2,415,591,154,505,115,581,1092,1673,23.084279737,66.533771668
Âge,De 25 à 29 ans,34,25,2167,2670,949,64,397,2146,3763,0,27.061600948,108.15197157
Âge,De 30 à 34 ans,50,38,2489,2688,1294,83,443,2510,4132,0,31.99488106,157.87052093
Âge,De 35 à 39 ans,73,46,2140,2898,1209,92,514,2435,4023,0,37.061783834,202.48885104
Âge,De 40 à 44 ans,84,35,2124,3703,1597,132,610,3039,4636,0,42.095504886,243.87583062
Âge,De 45 à 49 ans,87,56,2151,4315,2076,229,740,3815,5099,0,47.024455912,280.46713036
Âge,De 50 à 54 ans,108,50,1998,4563,2819,304,930,4688,5154,0,52.140825036,318.17770778
Âge,55 ans et plus,426,200,5069,15669,12539,1356,3285,17597,17662,0,60.269434754,363.05042684
Âge,35 ans et moins,98,70,5509,6490,2635,979,1065,5801,9980,1988,29.169951207,128.87529307
Âge,36 ans et plus,770,382,13044,30608,20002,2100,5992,31117,35789,0,53.453262787,319.56449347
Scolarité,Primaire,80,57,3252,2279,1630,226,666,3266,4258,360,45.960393408,288.3244285
Scolarité,Secondaire I à IV,280,167,3884,13006,8297,584,1493,11570,14648,309,50.254596079,308.50072469
Scolarité,Secondaire V,182,82,752,8199,4727,468,1271,6854,7556,53,52.685149202,280.66828591
Scolarité,Collégiale,49,24,31,3436,1385,184,568,2543,2566,4,52.888236445,261.50596986
Scolarité,Universitaire,38,17,7,2055,734,89,648,1434,1506,0,54.731972789,244.10068027
Scolarité,Inconnue,239,105,10627,8123,5864,1528,2411,11251,15235,1262,44.664464245,266.51128898
Diplôme maximum obtenu,Aucun diplôme,423,246,7491,17169,11049,922,2792,16457,20843,691,49.564557641,301.71104558
Diplôme maximum obtenu,Secondaire - DES,108,50,313,6013,2912,303,675,4651,5048,30,51.712547685,271.62346634
Diplôme maximum obtenu,Secondaire - DEP,24,11,78,1481,1076,101,108,1357,1414,2,55.81595092,304.33525803
Diplôme maximum obtenu,Secondaire - ASP,3,4,13,134,90,4,15,100,148,0,55.637096774,308.875
Diplôme maximum obtenu,Collégial - AEC,8,4,1,445,254,35,69,384,363,0,54.093708166,249.13654618
Diplôme maximum obtenu,Collégial - DEC général,8,3,7,723,201,20,108,461,501,0,53.241164241,265.12577963
Diplôme maximum obtenu,Collégial - DEC professionnel,8,9,5,738,302,45,96,601,506,2,53.630532972,234.43992773
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,244,85,11,58,172,171,0,53.606413994,242.67638484
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,5,4,822,268,42,234,595,557,0,54.678819444,229.29340278
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,2,0,131,57,10,59,105,100,0,56.317073171,212.35121951
Diplôme maximum obtenu,Inconnu,268,117,10641,9198,6343,1586,2843,12035,16118,1263,45.25187369,266.92551415
Durée cumulative,Premier mois,0,0,0,0,0,9,1,3,6,8,22.444444444,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,60,3,23,37,54,21.65,3.6333333333
Durée cumulative,De 6 à 11 mois,0,0,0,2,1,108,12,46,65,98,22.153153153,8.6216216216
Durée cumulative,De 12 à 23 mois,0,0,0,0,0,192,9,64,128,158,25.541666667,17.614583333
Durée cumulative,De 24 à 47 mois,1,0,6,18,19,322,26,165,201,254,30.174863388,36.674863388
Durée cumulative,De 48 à 119 mois,95,53,2061,3965,2217,708,1314,3593,5506,1416,34.864490603,93.017034839
Durée cumulative,120 mois et plus,772,399,16486,33113,20400,1680,5692,33024,39826,0,50.782910089,309.54306108
Types de diagnostics,Visuel,868,0,0,0,0,0,140,374,494,6,51.130184332,298.04147465
Types de diagnostics,Auditif et de la parole,0,452,0,0,0,0,80,235,217,2,49.630530973,273.67256637
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18553,0,0,0,916,8595,9958,415,44.454320056,302.85695036
Types de diagnostics,Santé mentale,0,0,0,37098,0,0,3303,14971,22127,592,49.01795245,280.14750121
Types de diagnostics,Physique,0,0,0,0,22637,0,2381,11377,11260,154,52.474046914,285.54075187
Types de diagnostics,Autres,0,0,0,0,0,3079,237,1366,1713,819,45.072101332,180.75998701
Région,01 - Bas-Saint-Laurent,16,8,695,1087,722,92,16,1144,1476,63,50.096946565,301.66145038
Région,02 - Saguenay-Lac-Saint-Jean,28,14,831,1278,985,126,22,1514,1748,85,48.96076027,301.13366033
Région,03 - Capitale-Nationale,69,24,1422,3327,1585,252,228,2895,3784,136,49.777062434,299.75460398
Région,04 - Mauricie,33,19,942,1805,1065,119,70,1826,2157,69,49.410745669,301.93798644
Région,05 - Estrie,59,29,1504,2589,1599,233,236,2673,3340,128,48.82205222,286.53849992
Région,06 - Montréal,229,142,3460,10272,5497,669,4480,8668,11601,389,49.688095121,280.2520598
Région,07 - Outaouais,46,21,880,1708,1083,186,196,1820,2104,92,48.75382263,274.39576962
Région,08 - Abitibi-Témiscamingue,17,8,421,539,416,65,9,675,791,29,49.359481583,301.58867667
Région,09 - Côte-Nord,11,5,222,305,221,30,6,345,449,14,49.041561713,308.45088161
Région,10 - Nord-du-Québec,3,0,43,96,67,14,1,92,131,4,44.627802691,247.80269058
Région,11 - Gaspésie-Îles-de-la-Madeleine,21,8,372,522,460,58,10,667,774,28,50.188063845,308.35322693
