Caracteristique,Valeur,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee
Situation familiale,Personnes seules,78633,0,78633,113034479.11
Situation familiale,Couples sans enfants,3041,0,3041,3376183.1696
Situation familiale,Familles monoparentales,1693,2287,3980,2663131.0399
Situation familiale,Couples avec enfants,794,1372,2166,973408.61993
Situation maritale,Adultes seuls,80326,2287,82613,115697610.15
Situation maritale,Adultes avec conjoint à l’AFDR,2403,1126,3529,2732849.9697
Situation maritale,Adultes avec conjoint au PRB,1036,76,1112,1179593.4499
Situation maritale,Adultes avec conjoint hors Assistance sociale,396,170,566,437148.36995
Type de résidence,Locataire,27540,1974,29514,38520491.376
Type de résidence,Locataire HLM ou coopérative,12677,1104,13781,17740264.238
Type de résidence,Chambreur ou pensionnaire,39095,311,39406,58970289.867
Type de résidence,Temporairement sans adresse,579,1,580,857969.60995
Type de résidence,Propriété,2597,269,2866,3384144.0694
Type de résidence,En hébergement,1673,0,1673,574042.77993
Région,01 - Bas-Saint-Laurent,2710,81,2791,3880078.6896
Région,02 - Saguenay-Lac-Saint-Jean,3343,91,3434,4874459.1096
Région,03 - Capitale-Nationale,6816,182,6998,9692426.9191
Région,04 - Mauricie,4106,174,4280,5972453.7194
Région,05 - Estrie,6149,269,6418,8701658.7292
Région,06 - Montréal,20792,1179,21971,29622308.108
Région,07 - Outaouais,3974,225,4199,5674147.8594
Région,08 - Abitibi-Témiscamingue,1520,39,1559,2136853.1998
Région,09 - Côte-Nord,857,12,869,1220516.0999
Région,10 - Nord-du-Québec,241,7,248,348791.46998
Région,11 - Gaspésie-Îles-de-la-Madeleine,1480,51,1531,2099529.6398
Région,12 - Chaudière-Appalaches,3786,107,3893,5321507.3395
Région,13 - Laval,3118,152,3270,4500904.9997
Région,14 - Lanaudière,4632,180,4812,6572653.2495
Région,15 - Laurentides,5570,210,5780,7937353.4493
Région,16 - Montérégie,11991,570,12561,17086842.489
Région,17 - Centre-du-Québec,2964,130,3094,4241177.2595
Région,Région inconnue,112,0,112,163539.60999
Clientèle supplémentée,Allocations_aide_emploi,120,15,135,138817.79999
Clientèle supplémentée,Allocations_soutien,1016,28,1044,1591746.8999
Clientèle supplémentée,Revenus_travail,0,0,0,0
Clientèle supplémentée,Prestations_assurance_emploi,29,1,30,16668.949991
Clientèle supplémentée,Contribution_parentale,0,0,0,0
Clientèle supplémentée,Pension_alimentaire,0,0,0,0
Clientèle supplémentée,RRQ_invalidite,7974,293,8267,5739405.1264
Clientèle supplémentée,RRQ_retraite,11843,183,12026,16706941.345
Clientèle supplémentée,Revenus_autres,6319,297,6616,8470940.9889
Clientèle supplémentée,Total_distinct,25774,637,26411,31161389.75
