Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,730,373,17434,34996,19555,3048,6141,32858,43278,2116,48.476581381,282.79950352
Situation familiale,Couples sans enfants,62,28,532,856,1290,109,399,1593,1284,6,54.00729927,313.57942301
Situation familiale,Familles monoparentales,34,30,208,614,694,50,251,1378,252,4,45.326380368,227.68404908
Situation familiale,Couples avec enfants,28,15,117,218,362,22,280,308,454,2,46.75984252,231.34383202
Situation maritale,Adultes seuls,764,403,17642,35610,20249,3098,6392,34236,43530,2120,48.410552169,281.64426613
Situation maritale,Adultes avec conjoint à l’AFDR,57,15,257,553,1028,79,475,985,1004,2,53.121166415,288.79788839
Situation maritale,Adultes avec conjoint au PRB,20,19,293,313,307,26,86,492,486,1,52.475460123,320.61247444
Situation maritale,Adultes avec conjoint hors Assistance sociale,13,9,99,208,317,26,118,424,248,5,50.641369048,283.44345238
Sexe,Hommes,489,208,9815,22090,10845,1821,3767,0,45268,1390,47.353516833,272.72251922
Sexe,Femmes,365,238,8476,14594,11056,1408,3304,36137,0,738,50.145446495,294.30215569
Âge,Moins de 20 ans,0,0,0,1,0,373,36,133,241,374,18.513368984,12.42513369
Âge,De 20 à 24 ans,7,2,383,565,138,659,128,605,1149,1754,22.995438997,65.263968073
Âge,De 25 à 29 ans,36,24,2112,2765,896,75,391,2135,3773,0,27.102064997,108.71513202
Âge,De 30 à 34 ans,51,40,2427,2813,1279,79,493,2511,4178,0,32.015547914,158.20571087
Âge,De 35 à 39 ans,72,44,2227,2881,1233,94,520,2485,4066,0,37.020760189,202.71149443
Âge,De 40 à 44 ans,73,38,2124,3635,1534,142,607,2987,4559,0,42.083620461,245.02584151
Âge,De 45 à 49 ans,97,51,2133,4400,2052,217,737,3747,5203,0,47.028938547,281.42938547
Âge,De 50 à 54 ans,104,47,1982,4486,2700,305,903,4575,5049,0,52.079696592,318.14921031
Âge,55 ans et plus,414,200,4903,15138,12069,1285,3256,16959,17050,0,60.33596989,364.7141639
Âge,35 ans et moins,106,74,5414,6690,2566,1205,1139,5885,10170,2128,29.154718156,128.73815011
Âge,36 ans et plus,748,372,12877,29994,19335,2024,5932,30252,35098,0,53.36841622,320.02921194
Scolarité,Primaire,79,61,3263,2261,1600,254,671,3227,4291,345,45.504921522,284.5226124
Scolarité,Secondaire I à IV,277,155,3891,12863,7990,595,1505,11282,14489,337,50.075666447,308.12812852
Scolarité,Secondaire V,184,80,736,8124,4588,478,1277,6732,7458,60,52.57653277,280.70077519
Scolarité,Collégiale,51,28,32,3387,1357,185,552,2499,2541,3,52.928769841,263.04940476
Scolarité,Universitaire,33,17,7,2022,729,89,647,1433,1464,0,54.764584052,245.69278564
Scolarité,Inconnue,230,105,10362,8027,5637,1628,2419,10964,15025,1383,44.311978145,264.73908192
Diplôme maximum obtenu,Aucun diplôme,419,239,7499,16954,10645,962,2801,16082,20636,704,49.308404597,300.58892097
Diplôme maximum obtenu,Secondaire - DES,108,51,311,6013,2877,314,690,4627,5047,38,51.684618565,272.38091792
Diplôme maximum obtenu,Secondaire - DEP,26,9,76,1458,1038,101,102,1313,1395,2,55.855243722,305.24409158
Diplôme maximum obtenu,Secondaire - ASP,3,4,11,130,85,4,16,91,146,0,55.345991561,310.64978903
Diplôme maximum obtenu,Collégial - AEC,8,4,1,440,251,35,70,378,361,0,54.190798376,251.33152909
Diplôme maximum obtenu,Collégial - DEC général,9,3,8,709,195,20,105,452,492,0,53.237288136,267.08686441
