Caracteristique,Valeur,Visuel,Auditif_et_parole,Intellect_apprentissage,Sante_mentale,Physique,Autres,Total_NHC,Femmes,Hommes,Moins_de_25ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,738,385,17583,35320,19981,2984,6133,33363,43628,2080,48.594991622,283.21501214
Situation familiale,Couples sans enfants,62,28,538,881,1317,112,421,1613,1325,6,54.04526889,312.18822328
Situation familiale,Familles monoparentales,29,29,213,599,674,42,239,1342,244,3,45.110340479,228.34930643
Situation familiale,Couples avec enfants,28,15,112,213,375,20,274,314,449,4,46.511140236,230.30013106
Situation maritale,Adultes seuls,767,414,17796,35919,20655,3026,6372,34705,43872,2083,48.524657342,282.10760146
Situation maritale,Adultes avec conjoint à l’AFDR,59,17,269,576,1073,82,499,1029,1047,6,53.139210019,287.99277457
Situation maritale,Adultes avec conjoint au PRB,20,18,291,333,321,29,85,511,501,0,52.472332016,319.60671937
Situation maritale,Adultes avec conjoint hors Assistance sociale,11,8,90,185,298,21,111,387,226,4,50.33278956,279.95595432
Sexe,Hommes,488,219,9892,22178,11103,1766,3780,0,45646,1374,47.485891425,273.26867634
Sexe,Femmes,369,238,8554,14835,11244,1392,3287,36632,0,719,50.219862415,294.45498471
Âge,Moins de 20 ans,0,0,0,1,0,346,30,128,219,347,18.498559078,11.985590778
Âge,De 20 à 24 ans,7,2,414,591,151,581,121,591,1155,1746,23.013172967,65.688430699
Âge,De 25 à 29 ans,32,29,2137,2732,934,62,397,2160,3766,0,27.06716166,108.38525143
Âge,De 30 à 34 ans,51,36,2479,2756,1273,84,460,2523,4156,0,31.999101662,158.16155113
Âge,De 35 à 39 ans,72,46,2184,2889,1230,90,522,2458,4053,0,37.044540009,202.78160037
Âge,De 40 à 44 ans,81,35,2089,3677,1571,135,616,3010,4578,0,42.09014233,244.51449657
Âge,De 45 à 49 ans,86,52,2169,4383,2081,217,728,3801,5187,0,47.018246551,280.8328883
Âge,De 50 à 54 ans,112,47,1986,4534,2757,310,912,4655,5091,0,52.11522676,318.43761543
Âge,55 ans et plus,416,210,4988,15450,12350,1333,3281,17306,17441,0,60.303939908,363.75192103
Âge,35 ans et moins,99,72,5472,6643,2612,1089,1098,5891,10096,2093,29.138487521,128.71063989
Âge,36 ans et plus,758,385,12974,30370,19735,2069,5969,30741,35550,0,53.421399587,319.83828876
Scolarité,Primaire,80,61,3265,2273,1628,240,672,3250,4297,360,45.790380284,286.44627004
Scolarité,Secondaire I à IV,280,164,3908,12978,8145,590,1505,11458,14607,326,50.165931326,308.35944754
Scolarité,Secondaire V,177,83,745,8169,4673,473,1272,6788,7532,61,52.618994413,280.89769553
Scolarité,Collégiale,47,27,30,3439,1392,183,564,2544,2574,3,52.910121141,261.54337632
Scolarité,Universitaire,37,17,7,2047,731,92,643,1444,1487,0,54.719890822,244.62674855
Scolarité,Inconnue,236,105,10491,8107,5778,1580,2411,11148,15149,1343,44.467353691,265.53838841
Diplôme maximum obtenu,Aucun diplôme,419,248,7523,17124,10876,944,2813,16313,20821,707,49.449587979,301.23420585
Diplôme maximum obtenu,Secondaire - DES,104,51,311,6015,2895,306,674,4633,5049,39,51.664428837,271.97304276
Diplôme maximum obtenu,Secondaire - DEP,26,11,78,1468,1061,102,104,1338,1408,2,55.836853605,304.69519301
Diplôme maximum obtenu,Secondaire - ASP,3,4,13,132,85,3,15,96,144,0,55.695833333,311.00416667
Diplôme maximum obtenu,Collégial - AEC,7,4,1,445,253,33,70,381,362,0,54.113055182,250.1090175
Diplôme maximum obtenu,Collégial - DEC général,8,3,7,720,207,21,106,464,502,0,53.32815735,265.79503106
Diplôme maximum obtenu,Collégial - DEC professionnel,7,9,4,749,304,47,99,603,517,2,53.601785714,233.86517857
Diplôme maximum obtenu,Universitaire - Certificat,2,1,0,242,83,11,58,168,171,0,53.764011799,246.00294985
Diplôme maximum obtenu,Universitaire - Baccalauréat,11,6,4,823,266,43,235,603,550,0,54.621856028,229.81266262
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,5,2,0,130,61,10,61,109,99,0,56.134615385,211.99519231
Diplôme maximum obtenu,Inconnu,265,118,10505,9165,6256,1638,2832,11924,16023,1343,45.063441514,265.95008409
Durée cumulative,Premier mois,0,0,0,0,0,6,0,1,5,6,18,1
Durée cumulative,De 2 à 5 mois,0,0,0,0,0,79,10,27,52,73,20.860759494,3.5696202532
Durée cumulative,De 6 à 11 mois,0,0,0,3,0,107,8,46,64,95,23.254545455,8.6818181818
Durée cumulative,De 12 à 23 mois,0,0,0,1,3,211,15,88,127,176,25.418604651,17.479069767
Durée cumulative,De 24 à 47 mois,1,1,10,21,15,352,25,161,239,285,29.5275,36.0275
Durée cumulative,De 48 à 119 mois,94,62,2001,3970,2165,754,1334,3557,5489,1458,34.757572408,92.936657086
Durée cumulative,120 mois et plus,762,394,16435,33018,20164,1649,5675,32752,39670,0,50.691613046,309.29800337
Types de diagnostics,Visuel,857,0,0,0,0,0,136,369,488,7,51.107351225,298.23337223
Types de diagnostics,Auditif et de la parole,0,457,0,0,0,0,85,238,219,2,49.757111597,272.595186
Types de diagnostics,Intellectuel et d'apprentissage,0,0,18446,0,0,0,924,8554,9892,414,44.418952618,302.88111244
Types de diagnostics,Santé mentale,0,0,0,37013,0,0,3288,14835,22178,592,48.884310918,279.762705
Types de diagnostics,Physique,0,0,0,0,22347,0,2387,11244,11103,151,52.469458988,285.88231082
Types de diagnostics,Autres,0,0,0,0,0,3158,247,1392,1766,927,44.14661178,174.00918303
Région,01 - Bas-Saint-Laurent,15,7,687,1093,717,95,18,1146,1468,64,50.08530987,301.29686305
Région,02 - Saguenay-Lac-Saint-Jean,28,13,826,1290,966,123,23,1490,1756,85,48.849044978,300.62168823
Région,03 - Capitale-Nationale,67,25,1399,3280,1556,260,225,2862,3725,137,49.722635494,299.28237437
Région,04 - Mauricie,34,18,943,1793,1057,116,69,1807,2154,70,49.330472103,302.17293613
